%time,field.header.seq,field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1372687208550067757,4198,1372687208544400105,-0.00202497924576,-0.0440669886587,0.534998409389,0.843700599692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0267090911062,0.00910428129783,0.104098295988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62784,-0.572904,9.77076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687208643566923,4199,1372687208641479325,-0.00416183144476,-0.0436925048876,0.538846009237,0.841260139615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0303747602152,0.028648844348,0.0985102453762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651384,-0.612144,9.778608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687208736422878,4200,1372687208739443330,-0.00570760234712,-0.0437128854075,0.542593844859,0.838837604334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024441838329,0.0150333384475,0.0967629647201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66708,-0.659232,9.794304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687208838392586,4201,1372687208836495165,-0.00724117066944,-0.0439295208236,0.546131212949,0.836515666853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0272317234979,0.011543204263,0.0929214385177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643536,-0.643536,9.778608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687208939938044,4202,1372687208934468195,-0.00926669415865,-0.0445570942865,0.550341190786,0.833698607083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0366559224293,0.00840191099431,0.100947327537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62784,-0.674928,9.802152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687209032352721,4203,1372687209031451429,-0.0103382106167,-0.0460754523102,0.554626380121,0.830758540473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0303728524952,-0.0167287047783,0.101646643474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.596448,-0.714168,9.786456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687209133938163,4204,1372687209128754811,-0.0115951908212,-0.0468024011943,0.558810747408,0.827892284886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0249637709444,-0.00171988762456,0.100251549456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604296,-0.769104,9.739368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687209227675894,4205,1372687209226661389,-0.0132594878998,-0.0464713761495,0.56256711649,0.825338013558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0219965967711,0.0220174804853,0.098155817193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565056,-0.792648,9.755064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687209329570751,4206,1372687209324455947,-0.015486143699,-0.0452697459377,0.566423781086,0.822724090857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0195542876692,0.0406902292225,0.0932694670124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557208,-0.839736,9.762912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687209421169290,4207,1372687209422441299,-0.0175988329245,-0.0441314942907,0.569663608415,0.820503543892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0209507177829,0.043308247003,0.0876843337407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51012,-0.86328,9.739368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687209525155040,4208,1372687209519509660,-0.0192144909368,-0.0428361220294,0.572684245095,0.818430586799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0101282767406,0.039120430939,0.0796548024359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455184,-0.855432,9.778608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
